Item ID,Brand,CATEGORY
12CHO05,DR.SNACK,HUMMUS/DIP
12CHO06,DR.SNACK,NONFOOD
12COR01,DR.SNACK,BEVERAGE
12CRA01,DR.SNACK,COOKIE/CRACKERS
12CRA02,DR.SNACK,BEVERAGE
12GIN01,DR.SNACK,BEVERAGE
12HEA01,DR.SNACK,POPCORN
12HOT01,DR.SNACK,COOKIE/CRACKERS
12KIW01,DR.SNACK,EGG
12MAN01,DR.SNACK,COOKING OIL
12MIN01,DR.SNACK,SNACK
12MIX01,DR.SNACK,
12MIX02,DR.SNACK,BEVERAGE
12OME01,DR.SNACK,CHOCOLATE/CANDY
12ORI01,DR.SNACK,GROCERY
12PAP01,DR.SNACK,ETHNIC
12PEA02,DR.SNACK,NONFOOD
12PEA03,DR.SNACK,SNACK
12PEC01,DR.SNACK,WATER
12PIN01,DR.SNACK,NONFOOD
12PIS01,DR.SNACK,BEVERAGE
12PIS02,DR.SNACK,BEVERAGE
12RAI01,DR.SNACK,ETHNIC
12RIC01,DR.SNACK,CHOCOLATE/CANDY
12SUN04,DR.SNACK,CHOCOLATE/CANDY
12TRA01,DR.SNACK,GROCERY
12TRO01,DR.SNACK,BEVERAGE
12WAL02,DR.SNACK,BEVERAGE
12WAS01,DR.SNACK,GROCERY
12YOU01,DR.SNACK,ETC
12YOU02,DR.SNACK,GROCERY
12YOU03,DR.SNACK,YOGURT
12YOU04,DR.SNACK,CHOCOLATE/CANDY
1AIR104,GENERAL CANDY,WATER
1AIR105,GENERAL CANDY,ENERGY BAR
1AIR107,GENERAL CANDY,CHOCOLATE/CANDY
1AIR111,GENERAL CANDY,BEVERAGE
1AIR112,GENERAL CANDY,
1AIR113,GENERAL CANDY,
1AIR114,GENERAL CANDY,
1AIR117,GENERAL CANDY,
1AIR121,GENERAL CANDY,
1AIR122,GENERAL CANDY,
1AIR123,GENERAL CANDY,
1AIR131,GENERAL CANDY,
1ALM101,GENERAL CANDY,
1ALM111,GENERAL CANDY,
1BAB101,GENERAL CANDY,
